MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924805,0.2160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.3460000,0.0147816,0.2934645,-0.2177545
MsgID.LOCAL_VELOCITY,16.3460000,0.0000015,-0.0000093,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924813,0.2310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.5960000,0.1101366,0.2934909,-0.2322659
MsgID.LOCAL_VELOCITY,16.5960000,-0.0000128,-0.0000040,0.0000127
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924814,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.8470000,0.1025782,0.2937005,-0.2342588
MsgID.LOCAL_VELOCITY,16.8470000,-0.0000083,-0.0000236,0.0000160
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924811,0.2240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.0970000,0.0846938,0.3068653,-0.2222300
MsgID.LOCAL_VELOCITY,17.0970000,0.0000226,-0.0000242,0.0000181
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924804,0.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.3470000,-0.0067309,0.3841164,-0.2006458
MsgID.LOCAL_VELOCITY,17.3470000,-0.0000030,-0.0000177,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924787,0.1710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.5970000,-0.1945614,0.4115208,-0.1695615
MsgID.LOCAL_VELOCITY,17.5970000,-0.0000059,0.0000050,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924785,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.8470000,-0.2129740,0.3086407,-0.1360370
MsgID.LOCAL_VELOCITY,17.8470000,-0.0000200,0.0000035,0.0000177
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924791,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.0980000,-0.1340170,0.4122112,-0.1023539
MsgID.LOCAL_VELOCITY,18.0980000,-0.0000245,0.0000149,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924803,0.0710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.3480000,-0.0149935,0.3246397,-0.0708658
MsgID.LOCAL_VELOCITY,18.3480000,0.0000169,-0.0000173,0.0000222
